canonical_smiles,molecule_chembl_id,standard_type,standard_units,standard_value,type,units,value
COC(=O)C1=C(C)N=C(C)/C(=C(\O)OC)C1c1cccc(C#N)c1,CHEMBL25312,Inhibition,%,91.0,Inhibition,%,91.0
COC(=O)C1=C(C)N=C(C)/C(=C(\O)OC)C1c1cccc(C#N)c1,CHEMBL25312,Inhibition,%,91.0,Inhibition,%,91.0
COCCOC(=O)C1=C(C)NC(C)=C(C(=O)OC(C)C)C1c1cccc([N+](=O)[O-])c1,CHEMBL1428,Inhibition,%,85.0,Inhibition,%,85.0
COC(=O)C1=C(C)N=C(C)/C(=C(\O)OC)C1c1ccc(C)cc1,CHEMBL25934,Inhibition,%,93.0,Inhibition,%,93.0
COC(=O)C1=C(C)N=C(C)/C(=C(/O)OC)C1c1c(F)c(F)cc(F)c1F,CHEMBL43470,Inhibition,%,87.0,Inhibition,%,87.0
CO/C(O)=C1\C(C)=NC(C)=C(C(=O)OCC(C)C)C1c1ccccc1[N+](=O)[O-],CHEMBL441428,Inhibition,%,88.0,Inhibition,%,88.0
COC(=O)C1=C(C)N=C(C)/C(=C(/O)OC)C1Cc1ccccc1,CHEMBL290650,Inhibition,%,90.0,Inhibition,%,90.0
COC(=O)C1=C(C)N=C(C)/C(=C(/O)OC)C1Cc1ccccc1,CHEMBL290650,Inhibition,%,25.0,Inhibition,%,25.0
COC(=O)C1=C(C)N=C(C)/C(=C(/O)OC)C1Cc1ccccc1,CHEMBL290650,Inhibition,%,86.0,Inhibition,%,86.0
CCOC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1cccc([N+](=O)[O-])c1,CHEMBL475534,Inhibition,%,83.0,Inhibition,%,83.0
CCOC(=O)C1=C(C)NC(C)=C(C(=O)OCC)C1c1ccccc1,CHEMBL1099205,Inhibition,%,73.0,Inhibition,%,73.0
CCOC(=O)C1=C(C)N=C(C)/C(=C(/O)OCC)C1CC,CHEMBL290591,Inhibition,%,,Inhibition,%,
CCOC(=O)C1=C(C)N=C(C)/C(=C(/O)OCC)C1CC,CHEMBL290591,Inhibition,%,45.0,Inhibition,%,45.0
CCOC(=O)C1=C(C)N=C(C)/C(=C(/O)OCC)C1CC,CHEMBL290591,Inhibition,%,89.0,Inhibition,%,89.0
COC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1ccccc1[N+](=O)[O-],CHEMBL193,Inhibition,%,88.0,Inhibition,%,88.0
COC(=O)C1=C(C)N=C(C)/C(=C(/O)OC)C1C(C)C,CHEMBL418249,Inhibition,%,,Inhibition,%,
COC(=O)C1=C(C)N=C(C)/C(=C(/O)OC)C1C(C)C,CHEMBL418249,Inhibition,%,32.0,Inhibition,%,32.0
COC(=O)C1=C(C)N=C(C)/C(=C(/O)OC)C1C(C)C,CHEMBL418249,Inhibition,%,89.0,Inhibition,%,89.0
COC(=O)C1=C(C)N=C(C)/C(=C(/O)OC)C1C1CC=CCC1,CHEMBL41794,Inhibition,%,,Inhibition,%,
