ID,Canonical_Smiles,Inhibition
MERGED_00001,Cl.OC1(Cc2cccc(Br)c2)CCNCC1,12.5
MERGED_00002,Brc1ccc2OCCc3ccnc1c23,4.45
MERGED_00003,CC1(CO)CC(=NO1)c2cc(c(F)cc2Cl)[N+](=O)[O-],4.92
MERGED_00004,Fc1ccc2nc(Nc3cccc(COc4cccc(c4)C(=O)N5CCOCC5)c3)[nH]c2c1,71.5
MERGED_00005,CC(C)CC(=O)C1=C(Nc2c(Cl)ccc(Cl)c2C1=O)S(=O)C,18.3
MERGED_00006,O\C(=C\1/OCCN(Cc2ccccc2)C1=O)\C3CCOCC3,1.28
MERGED_00007,CS(=O)(=O)OCC(COCc1c(F)cccc1F)OS(=O)(=O)C,8.18
MERGED_00008,[O-][N+](=O)c1cn2C[C@@H](COc2n1)OC3CCCCO3,13.2
MERGED_00009,Cc1cc(nc(Nc2ccc(C#N)c(c2)C(F)(F)F)n1)N3CCC(CC3)C(=O)NC(C)(C)C,64.9
MERGED_00010,COC(=O)c1c(C)nc2N(C)CCc2c1OS(=O)(=O)C(F)(F)F,53.5
MERGED_00011,FC(F)(F)C(F)(F)COCc1cc(N\N=C/2\N=C(OC2=O)c3ccccc3)ccc1Cl,91.8
MERGED_00012,Fc1ccc2[nH]c(Nc3ncccc3OCc4cccc(c4)C#N)nc2c1,71.0
MERGED_00013,COC(=O)c1cc2cc(F)ccc2n1CC(=C)Cl,21.4
MERGED_00014,CCc1cccc2C(=O)C(=C(NCCc3ccc(OC)c(OC)c3)Nc12)C(=O)C,85.4
MERGED_00015,COc1ccc(cc1)[C@H](O)[C@H]2OCCN(Cc3ccccc3)C2=O,13.3
MERGED_00016,Cc1nc(C)c(C(=O)NCc2ccccc2)c(c3ccc(Cl)cc3)c1C(=O)O,16.2
MERGED_00017,CCCNC(=O)[C@@H]1CCCN1C(=S)Nc2ccccc2,8.62
MERGED_00018,COc1ccc(CN2Cc3c(Cl)ccnc3C2=O)cc1OC,9.89
MERGED_00019,CC(C)(C)OC(=O)N1CCC(CC1)c2nc(COc3ccc(cc3)n4cnnn4)cs2,31.2
MERGED_00020,CSC1=C(C(=O)C)C(=O)c2cc(F)c(F)cc2N1,15.0
MERGED_00021,CC(=C)COC(=O)C1OC(C)(C)OC1C(=O)OCC(=C)C,26.1
MERGED_00022,OC(=O)c1ccc(NC(=O)c2ccccc2C(=O)O)cc1O,6.4
MERGED_00023,CCOC(=O)C1CCN(CC1)c2nc(ncc2OC)c3ccc(cc3)S(=O)(=O)C,7.98
MERGED_00024,COC(=O)[C@@H](OC(C)(C)C)c1c(C)nc2C(=O)N(Cc3ccc(OC)cc3)CCc2c1Cl,2.99
MERGED_00025,COc1ccc(cc1)C2(ON(C)C(=N2)N)C3(COc4cc(F)cc(F)c4)CCCCC3,90.5
MERGED_00026,CC(C)CNC1=C(C(=O)C)C(=O)c2c(Cl)c(Cl)c(Cl)cc2N1,40.2
MERGED_00027,COC(=O)C(=C(C)\N=C\1/CCCN1C)C(=O)OC,0.0
MERGED_00028,COc1ccc(cc1)c2cc3c(NC(C)c4ccccc4)ncnc3[nH]2,36.2
MERGED_00029,OCCc1cc(Cl)nc2c(Br)ccc(O)c12,60.8
MERGED_00030,Cc1ccc(C)c(NC(=O)CC(=O)Nc2nccs2)c1,14.4
MERGED_00031,CN1N(C(F)F)C(=CC1=O)c2cc(C)c(Cl)cc2F,72.4
MERGED_00032,CC(=O)C1=C(NN2CCOCC2)Nc3c(Cl)cc(cc3C1=O)[N+](=O)[O-],27.0
MERGED_00033,CCc1cccc2C(=O)C(=C(NC3CCCCC3C)Nc12)C(=O)C,57.4
MERGED_00034,CCCOC(=O)[C@@H]1[C@H](C)N1C(=O)OCc2ccccc2,7.92
MERGED_00035,COC(=O)[C@@H](OC(C)(C)C)c1c(C)nc(C(=O)OC)c(C)c1c2ccc(N)cc2,88.8
MERGED_00036,CCOC(=O)Cc1cc(Cl)nc2c(Br)ccc(OC)c12,4.21
MERGED_00037,CCOC(=O)c1cc(C(=O)OCC)n(CCCC#N)c1,0.0
MERGED_00038,CCOC(=O)c1c(C)nc2C(=O)N(CC3CCCCC3)C(C)(C)c2c1c4ccc(Cl)cc4,60.9
MERGED_00039,SC1=C(C(=O)c2ccccc2)C(=O)c3ccccc3N1,61.6
MERGED_00040,Cl.C=CC(=O)N1CC[C@H](C1)Nc2nc(nc3[nH]ncc23)c4ccc(Oc5ccccc5)cc4,42.1
MERGED_00041,CCOC(=O)C(F)Cc1cc(N)c(F)cc1Cl,33.6
MERGED_00042,COc1ccc(Br)c2NC(=O)C=C(CCO)c12,0.0
MERGED_00043,COC(=O)CCc1cc(C)c(c(C)c1)c2nc3cc(NC(=O)N4CCOCC4)ccc3[nH]2,25.3
MERGED_00044,CCOC(=O)\C(=C(\O)/C(F)(F)F)\N(CC)CC,6.76
MERGED_00045,COC(=O)c1oc2ccccc2c1OCCCCl,39.0
MERGED_00046,O=S(=O)(\C=C/1\CCCC2OC12)c3ccccc3,12.5
MERGED_00047,CCOc1ccccc1O[C@H]([C@@H]2CNCCO2)c3ccccc3,31.0
MERGED_00048,COC(=O)[C@@H](OC(C)(C)C)c1c(C)nc2c(c1Cl)c3CCCCc3n2C,0.0
MERGED_00049,CC(C)c1noc(CCCNc2nc(C)cc(Cl)n2)n1,0.0
MERGED_00050,CC(=O)Nc1nc(cn1C2CN(Cc3cccc(c3)C(F)(F)F)C[C@@H]2O)c4ccccc4,71.7
MERGED_00051,CCOC(=O)C1=C2SCCN2c3cc4OCOc4cc3C1=O,14.2
MERGED_00052,CCCC(=O)C1=C(c2cc(Cl)cc(c2OC1=O)C(F)(F)F)S(=O)C,21.3
MERGED_00053,Clc1ncc(Br)cc1c2nnc3ccc(NCc4ccccc4)nn23,32.6
MERGED_00054,C\C(=N/N(Cc1c(F)cccc1F)c2ccc(C)cc2)\C(=O)NC(C)(C)C,45.7
MERGED_00055,COc1ccc(C)c(NC2=C(C(=O)C)C(=O)c3c(OC)ccc(C)c3N2)c1,54.0
MERGED_00056,CC(C)(C)OC(=O)Nc1ccncc1I,63.7
MERGED_00057,CN[C@@H](CCOc1cccc2ccccc12)c3ccccc3,11.6
MERGED_00058,Cc1ccc(Nc2nc(N)nc(CN3CCN(CC3)c4ccccc4)n2)c(C)c1,43.6
MERGED_00059,CN(C(CN1CCCC1)c2ccc(cc2)c3cccc(c3)C(=O)N)C(=O)CN4CCc5ccccc45,45.9
MERGED_00060,COc1cc(Br)c(cc1OC)S(=O)(=O)Nc2ccc(OCCN(C)C)nc2,18.8
MERGED_00061,C=CCCCS(=O)(=O)c1nnnn1c2ccccc2,50.2
MERGED_00062,Cc1ccc(cc1)N(Cc2ccccc2)\N=C\C(=O)NN3CCCCC3,16.5
MERGED_00063,Cc1onc(COCc2c(Cl)c(ccc2S(=O)(=O)C)C(=O)O)n1,1.18
MERGED_00064,Clc1ccc2N=C(OC(=O)c2c1)c3ccccc3,5.96
MERGED_00065,CCOC(=O)c1c(C)nc2c(ccn2Cc3cccc(F)c3F)c1O,17.4
MERGED_00066,COC(=O)c1ccc(NC(=O)OC(C)(C)C)c(O)c1,0.0
MERGED_00067,OC(=O)c1cccc(c1)c2ccc(cc2)N(CCN3CCOCC3)C(=O)Nc4ccc(Cl)cc4,29.5
MERGED_00068,COc1cc(Br)c(cc1OC)S(=O)(=O)N[C@@H]2CCCN(C2)C(=O)c3ccccc3,75.8
MERGED_00069,CN(c1ccc(cc1F)S(=O)(=O)C)c2ncnc3c(Br)csc23,30.0
MERGED_00070,CC(C)(C)OC(=O)n1ccc2c(Cl)nc(Cl)nc12,11.4
MERGED_00071,Cc1cc(nc(OCCCC#N)c1C(=O)C2C(=O)C3CCC(C3)C2=O)C(F)(F)F,0.0
MERGED_00072,CSC1=C(C(=O)C)C(=O)c2c(N1)c(ccc2C(F)(F)F)C(F)(F)F,48.2
MERGED_00073,COc1cc(OC)cc(c1)N(Cc2c(F)cccc2Cl)C(=O)Cc3ccncc3,88.0
MERGED_00074,Nc1oc(c2ccc(Cl)cc2)c(n1)c3ccc(Cl)cc3,95.6
MERGED_00075,O=C(NCCN1CCC(C1)(c2ccccc2)c3ccccc3)Nc4ccnc5ccsc45,88.1
MERGED_00076,CN(C1CCN(CC1)C(=O)OC(C)(C)C)c2nccc3c(Br)csc23,40.1
MERGED_00077,Nc1cccc(Nc2nc(Cl)nc3[nH]ccc23)c1,77.1
MERGED_00078,CCCCOc1nc(N)c2NC(=O)CN(Cc3cccc(CN4CCCC4)c3)c2n1,29.2
MERGED_00079,Cc1ccc(cc1)S(=O)(=O)CC(=O)c2ccc(Cl)cc2,60.6
MERGED_00080,CCOC(OCC)C#Cc1cncc(I)c1N,71.2
MERGED_00081,COC(=O)c1c(CS(=O)(=O)c2ccccc2)n(c3ccccc13)S(=O)(=O)c4ccccc4,63.9
MERGED_00082,COc1cc2c(oc3ccccc23)cc1NC(=O)C(=C(SC)SC)C(=O)C,50.4
MERGED_00083,Cl.CN(C1CCNCC1)S(=O)(=O)c2ccc(Cl)s2,36.7
MERGED_00084,CC(C)c1ccc(C)cc1OCc2nnc(NC(=O)Nc3ccc(C)cc3)s2,26.9
MERGED_00085,COc1cc(NCc2c(F)cccc2Cl)cc(OC)c1,62.9
MERGED_00086,[O-][N+](=O)c1c(NC(=O)c2cnccn2)cc(cc1C(F)(F)F)C(F)(F)F,0.0
MERGED_00087,CC(=O)C(=C1SCCCS1)C(=O)Nc2ccccc2,25.0
MERGED_00088,Clc1ccc(cc1Cl)c2nnc(NC(=O)Cc3ccccc3)s2,33.8
MERGED_00089,Cc1cc2ncccc2c(Br)c1OS(=O)(=O)C(F)(F)F,2.83
MERGED_00090,OC([C@@H]1C2CC(C=C2)[C@@H]1NC(=O)OCc3ccccc3)(c4ccccc4)c5ccccc5,94.0
MERGED_00091,CC(C)c1noc(n1)C2CCN(CC2)c3nc(Cl)ncc3C(F)(F)F,0.0
MERGED_00092,CC(NC(=O)c1ccc(Cl)c(Cl)c1)C(=O)Nc2ccc(OC3CCNCC3)c(Cl)c2,68.6
MERGED_00093,Cl.CCCN(C1CCNCC1)S(=O)(=O)c2ccc(F)cc2,17.2
MERGED_00094,CC(C)(C)OC(=O)N1CCO[C@H](Cn2nnc3ncc(Br)nc23)C1,14.9
MERGED_00095,CN(Cc1ccc(F)cc1)Cc2ccc(cc2)[N+](=O)[O-],0.0
MERGED_00096,Cc1cnc(cn1)C(=O)Nc2cc(Cl)c(Cl)c(Cl)c2,0.0
MERGED_00097,CCC(=O)CC(=O)Nc1cccc(Cl)c1Cl,24.7
MERGED_00098,CCOC(=O)\C(=C\1/C(=O)N(Cc2ccc(OC)cc2)c3ccccc13)\[N+]#[C-],87.1
MERGED_00099,Nc1ccc(nc1)c2ccc(OC(F)(F)F)cc2,25.3
MERGED_00100,CC1(COCc2c(F)cccc2F)CC(=NO1)c3sccc3S,49.4
MERGED_00101,CC1(C)Oc2c(ccnc2c3ccc(cc3F)S(=O)(=O)C)C(Br)C1Br,29.1
MERGED_00102,Clc1ccc(cc1)C2NCCc3ccc(Br)cc23,30.2
MERGED_00103,COc1cccc(NC(=O)c2c(C)nc(C)c(C(=O)O)c2c3ccc(Cl)cc3)c1,79.3
MERGED_00104,O=C(N1CCN(Cc2ccc3OCOc3c2)CC1)c4ccc(Nc5cc(ncn5)n6cccc6)cc4,91.4
MERGED_00105,CCOC(OCC)c1cc2cncc(I)c2[nH]1,93.3
MERGED_00106,CC(C)(C)OC(=O)NCCN1CCC(Cc2ccccc2)CC1,57.0
MERGED_00107,CSc1nc(Cl)cc(OCC2CCN(CC2)C(=O)OC(C)(C)C)n1,4.35
MERGED_00108,Cc1cc(Cl)ccc1Nc2nc(N)nc(CCl)n2,25.4
MERGED_00109,CN(CC(=O)NC1CCCCC1)N(Cc2ccc(F)cc2)c3ccc(C)cc3,69.0
MERGED_00110,COC(=O)c1ccc(nc1OC(C)C(=O)Nc2ccccc2)C(F)(F)F,0.0147
MERGED_00111,OC(=O)c1ccc(nc1OCCn2cncn2)C(F)(F)F,8.66
MERGED_00112,CC(=O)C1=C(Nc2c(C)ccc(C)c2C1=O)S(=O)C,19.8
MERGED_00113,Clc1ccc2CN(C3CCN(Cc4ccc(Br)cc4)CC3)C(=O)c2n1,0.0
MERGED_00114,CCN1C(=O)NC(=O)n2c1nc(c3ccc(F)cc3)c2c4ccc(F)cc4,0.0
MERGED_00115,COC(=O)c1cc(Cl)ccc1C2CCN(CC(=O)N3CCc4ccccc34)CC2,28.3
MERGED_00116,CS(=O)(=O)c1ccc(NC(=O)CC#N)c(F)c1,12.4
MERGED_00117,CC(C)(C)OC(=O)N1CCC(CC1)NS(=O)(=O)c2c(Cl)cc(cc2Cl)C(F)(F)F,47.7
MERGED_00118,Fc1ccc(cc1OC2CCCNC2)C(=O)Nc3nnc(COc4ccc(Cl)c(Cl)c4)s3,47.7
MERGED_00119,CC(NC(=O)c1n[nH]c2ccc(F)cc12)c3cccc4ccccc34,2.53
MERGED_00120,CC(=O)Nc1cc2CCC(=O)c2cc1Br,6.66
MERGED_00121,Cc1n[nH]c(C)c1Cc2ccccc2Br,22.3
MERGED_00122,Cc1cc(C)cc(NC(=O)\C=C\C(=O)Nc2cc(C)cc(C)c2)c1,12.3
MERGED_00123,Clc1ccccc1Sc2c(n[nH]c2C3CC3)C4CC4,37.9
MERGED_00124,Fc1ccc(CN2CCCCC2)cc1c3cncc4cc(oc34)\C=C\5/SC(=O)NC5=O,60.0
MERGED_00125,CN(C)CCCOc1ccc(CN2CCC(CC2)NC(=O)C3=C(C)c4ccccc4C3)cc1,7.18
MERGED_00126,CC(C)C(NC(=O)c1c(C)n(CC(C)(C)O)c2ccc(F)cc12)C(=O)O,8.23
MERGED_00127,CCOC(=O)c1cc2cc(O)ccc2n1c3ccc(cc3)C(=O)N4CCC4,49.7
MERGED_00128,CSC1=Nc2ccccc2C(=O)N1c3ccccc3,9.86
MERGED_00129,Cc1ccccc1c2nc3ccccc3cc2Cn4c5ccc(cc5c6cnc(N)nc46)C(=O)N,94.4
MERGED_00130,OC(=O)[C@@H]1CCCN1C(=O)\C=C\c2ccc(NC(=O)Nc3ccccc3Br)cc2,43.0
MERGED_00131,O=C(Nc1ccc(cc1)n2ccnc2)c3csc(Nc4ccccc4)n3,94.8
MERGED_00132,COc1ccc(CNCCN2CCOCC2)c3ccccc13,55.0
MERGED_00133,Brc1ccc(cc1)C(c2ccc[nH]2)c3ccc[nH]3,61.3
MERGED_00134,CC(=O)C(Sc1cc(Cl)cc(Cl)c1)C(=O)C,33.7
MERGED_00135,Cc1ccc2nc(N3CCN(CC3)C(=O)c4cc5ccccc5[nH]4)c(Cl)nc2c1,47.4
MERGED_00136,Fc1ccc(cc1)n2nc(C(=O)Nc3ccncc3)c4CCc5ccccc5c24,97.2
MERGED_00137,Clc1cccc2C=C(Cn3ccc4cnc(Cl)nc34)N(C(=O)c12)c5ccccc5,37.6
MERGED_00138,Oc1ccc(NC2=NC(=O)C(S2)c3ccccc3)cc1,58.4
MERGED_00139,COC(=O)c1c(C)n(C(=O)C)c2ccc(NS(=O)(=O)c3cccs3)cc12,42.5
MERGED_00140,[O-][N+](=O)c1ccc2C(=CC(=O)c2c1)Br,62.7
MERGED_00141,O=C(Nc1sccc1C#N)\C=C/C(=O)N2CCOCC2,16.3
MERGED_00142,CSc1ncc(Br)c(Nc2cccc(CO)c2)n1,13.4
MERGED_00143,Clc1ncnc2[nH]c3ccc(I)cc3c12,46.8
MERGED_00144,O=C(NCCN1CCCCC1)c2cccc(Oc3ccccc3)c2,31.4
MERGED_00145,COc1c(NC(=O)\C=N\O)cc(Br)cc1C(C)C,10.2
MERGED_00146,Brc1ccc(Sc2c(nn(C(=O)c3cnccn3)c2C4CC4)C5CC5)cc1,39.8
MERGED_00147,Clc1cc(NC(=O)CC(=O)Nc2ccnc(Cl)c2)ccn1,13.1
MERGED_00148,COc1ccc2c(CCc3c2onc3C(=O)Nc4ncccn4)c1,22.9
MERGED_00149,COc1ccc2C(=C3N(CCc4cc5OCOc5cc34)C(=O)c2c1OC)Cc6nc7ccccc7[nH]6,70.4
MERGED_00150,Nc1ncnc2[nH]nc(I)c12,39.4
MERGED_00151,CC(N1C(=O)Nc2c1ncnc2S(=O)(=O)C)c3cc4ccccc4nc3c5ccccc5C,32.2
MERGED_00152,COc1ccc(CN2C(=O)Cc3c(Br)cc(C(C)C)c(OC)c23)cc1,61.4
MERGED_00153,COC(=O)c1ccc(Oc2c(C)nn(C(=O)c3ccc(Cl)nc3)c2C)cc1,13.6
MERGED_00154,CC(C(=O)Nc1ccc(C)cc1)C(=O)Nc2ccc(C)cc2,23.4
MERGED_00155,Cc1cccc(NC(=O)C2ON=CC2C(=O)N3CCOCC3)c1,30.2
MERGED_00156,Clc1cccc(n1)C(=O)NCCC(=O)Nc2nc(c(Cc3ccccc3)s2)c4ccccc4,69.1
MERGED_00157,CC(C)(C)OC(=O)N1CCC(CC1)c2n[nH]c3nc(ncc23)S(=O)(=O)C,14.7
MERGED_00158,CN(C)CCNC(=O)c1c(C)n(CC(=O)O)c2ccc(NS(=O)(=O)c3ccccc3F)cc12,30.7
MERGED_00159,CCOC(=O)C(Cc1ccccc1Br)(NC(=O)C)C(=O)OCC,43.2
MERGED_00160,OC(=O)C(Cc1ccc(F)cc1)NC(=O)c2cc(Br)c(F)n2c3ncccc3Cl,23.5
MERGED_00161,CC(C)N1C(=O)N(c2ccc(O)c(F)c2)c3cnc4cc(F)ccc4c13,31.5
MERGED_00162,OC(=O)C[C@@H](Cc1cc(F)c(F)cc1F)NC(=O)Nc2ccc(I)cc2,27.0
MERGED_00163,CSc1ncc2c3cc(ccc3[nH]c2n1)N(C)CCO,48.1
MERGED_00164,COc1ccc(CN2Cc3c(Br)ccc(N)c3C2=O)cc1,38.2
MERGED_00165,COC(=O)c1ccc(N)c(OCc2ccc(F)c(F)c2)c1,72.6
MERGED_00166,CCOC(=O)c1cc2cc(OCc3ccccc3)ccc2n1CC(=O)NCCN4CCCCC4,26.2
MERGED_00167,Cc1n[nH]c(C)c1Sc2ccc(cc2)C(C)(C)C,30.4
MERGED_00168,Cn1c(cc2ccccc12)C(=O)N3CCC(CC3)Nc4cnc5ccccc5n4,33.8
MERGED_00169,CC(C)n1nc(c2ccc3nc(NC(=O)C)sc3c2)c4cnc(N)nc14,11.0
MERGED_00170,COC(=O)N1CC(C)CN(c2ccc(NC(=O)Nc3cc(C)ccc3OC)cc2)S1(=O)=O,28.6
