ID,Canonical_Smiles,Inhibition
TRAIN_0001,COC(=O)C1=C(C)N=C(C)/C(=C(\O)OC)C1c1cccc(C#N)c1,91.0
TRAIN_0002,COCCOC(=O)C1=C(C)NC(C)=C(C(=O)OC(C)C)C1c1cccc([N+](=O)[O-])c1,85.0
TRAIN_0003,COC(=O)C1=C(C)N=C(C)/C(=C(\O)OC)C1c1ccc(C)cc1,93.0
TRAIN_0004,COC(=O)C1=C(C)N=C(C)/C(=C(/O)OC)C1c1c(F)c(F)cc(F)c1F,87.0
TRAIN_0005,CO/C(O)=C1\C(C)=NC(C)=C(C(=O)OCC(C)C)C1c1ccccc1[N+](=O)[O-],88.0
TRAIN_0006,COC(=O)C1=C(C)N=C(C)/C(=C(/O)OC)C1Cc1ccccc1,90.0
TRAIN_0007,CCOC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1cccc([N+](=O)[O-])c1,83.0
TRAIN_0008,CCOC(=O)C1=C(C)NC(C)=C(C(=O)OCC)C1c1ccccc1,73.0
TRAIN_0009,CCOC(=O)C1=C(C)N=C(C)/C(=C(/O)OCC)C1CC,45.0
TRAIN_0010,COC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1ccccc1[N+](=O)[O-],88.0
TRAIN_0011,COC(=O)C1=C(C)N=C(C)/C(=C(/O)OC)C1C(C)C,32.0
TRAIN_0012,COC(=O)C1=C(C)N=C(C)/C(=C(/O)OC)C1C1CC=CCC1,27.0
TRAIN_0013,COC(=O)C1=C(C)N=C(C)/C(=C(/O)OC)C1c1ccc(Cl)c([N+](=O)[O-])c1,91.0
TRAIN_0014,COC(=O)C1=C(C)N=C(C)/C(=C(/O)OC)C1c1cccc(Cl)c1,86.0
TRAIN_0015,CCCCCO/C(O)=C1\C(C)=NC(C)=C(C(=O)OCCOCCC)C1c1cccc([N+](=O)[O-])c1,80.0
TRAIN_0016,COC(=O)C1=C(C)N=C(C)/C(=C(/O)OC)C1c1c(F)cccc1Cl,88.0
TRAIN_0017,COC(=O)C1=C(C)N=C(C)/C(=C(/O)OC)C1c1ccc(C(F)(F)F)cc1,79.0
TRAIN_0018,COC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1ccccc1,90.0
TRAIN_0019,Cc1cccc(S(=O)(=O)NCC(c2ccc(C(F)(F)F)cc2)N2CCN(CC(O)COc3ccc(Br)cc3)CC2)c1,76.0
TRAIN_0020,O=S(=O)(NCC(c1ccc(C(F)(F)F)cc1)N1CCN(CC(O)COc2ccc(F)cc2)CC1)c1ccccc1Cl,92.0
TRAIN_0021,COc1ccc(OCC(O)CN2CCN(C(CNC(=O)c3ccc(C(F)(F)F)cc3)c3ccccc3)CC2)cc1,94.0
TRAIN_0022,O=C(NCC(c1ccccc1)N1CCN(CC(O)COc2ccccc2)CC1)c1ccc(F)cc1,61.0
TRAIN_0023,COc1ccc(OC)c(S(=O)(=O)NCC(c2ccccc2)N2CCN(CC(O)COc3ccc(Br)cc3)CC2)c1,100.0
TRAIN_0024,Cc1cccc(C)c1OCC(O)CN1CCN(C(C(=O)NCc2ccccc2)c2ccc(C(F)(F)F)cc2)CC1,53.0
TRAIN_0025,COc1ccc(C(=O)NCC(c2ccccc2)N2CCN(CC(O)COc3ccc(Cl)cc3)CC2)cc1,96.0
TRAIN_0026,COc1ccc(OCC(O)CN2CCN(C(CNC(=O)c3ccccc3)c3ccccc3)CC2)cc1,79.0
TRAIN_0027,COc1ccc(OCC(O)CN2CCN(C(C(=O)NCc3ccccc3)c3ccc(F)cc3)CC2)cc1,49.0
TRAIN_0028,COc1ccc(OCC(O)CN2CCC(N(C(=O)c3ccc(Cl)cc3)c3ccc(F)cc3)CC2)cc1,97.0
TRAIN_0029,COc1ccc(OCC(O)CN2CCC(N(C(=O)c3ccc(OC)cc3)c3ccccc3)CC2)cc1,87.0
TRAIN_0030,COc1ccc(OCC(O)CN2CCC(N(C(=O)c3ccc(Cl)cc3)c3ccccc3)CC2)cc1,90.0
TRAIN_0031,COc1ccc(CNC(=O)C(c2ccc(F)cc2)N2CCN(CC(O)COc3c(C)cccc3C)CC2)cc1,70.0
TRAIN_0032,COc1ccc(OCC(O)CN2CCN(C(CNC(=O)c3ccc(OC)cc3)c3ccccc3)CC2)cc1,95.0
TRAIN_0033,COc1ccccc1C(=O)NCC(c1ccccc1)N1CCN(CC(O)COc2ccc(Cl)cc2)CC1,61.0
TRAIN_0034,COc1ccc(OCC(O)CN2CCC(N(C(=O)c3ccc(OC)cc3)c3ccc(F)cc3)CC2)cc1,88.0
TRAIN_0035,COc1ccc(OCC(O)CN2CCN(C(C(=O)NCc3ccccc3)c3ccc(C(F)(F)F)cc3)CC2)cc1,68.0
TRAIN_0036,COc1ccc(OCC(O)CN2CCC(N(C(=O)c3ccccc3)c3ccccc3)CC2)cc1,71.0
TRAIN_0037,COc1ccc(CNC(=O)C(c2ccc(OC)cc2)N2CCN(CC(O)COc3c(C)cccc3C)CC2)cc1,74.0
TRAIN_0038,COc1ccc(OCC(O)CN2CCN(C(CNC(=O)c3ccccc3OC)c3ccccc3)CC2)cc1,93.0
TRAIN_0039,COc1ccc(OCC(O)CN2CCC(N(C(=O)c3ccccc3)c3ccc(F)cc3)CC2)cc1,79.0
TRAIN_0040,COc1ccc(OCC(O)CN2CCN(C(C(=O)NCc3ccccc3)c3ccc(C)cc3)CC2)cc1,65.0
TRAIN_0041,Cc1cccc(C)c1OCC(O)CN1CCN(C(C(=O)NCc2ccccc2)c2ccc(F)cc2)CC1,38.0
TRAIN_0042,COc1ccc(OCC(O)CN2CCN(C(CNC(=O)c3ccc(F)cc3)c3ccccc3)CC2)cc1,22.0
TRAIN_0043,Cc1ccc(C(C(=O)NCc2ccccc2)N2CCN(CC(O)COc3c(C)cccc3C)CC2)cc1,44.0
TRAIN_0044,O=C(NCC(c1ccccc1)N1CCN(CC(O)COc2ccc(Cl)cc2)CC1)c1ccc(C(F)(F)F)cc1,69.0
TRAIN_0045,COc1ccc(CNC(=O)C(c2ccc(C)cc2)N2CCN(CC(O)COc3c(C)cccc3C)CC2)cc1,74.0
TRAIN_0046,COc1ccc(CNC(=O)C(c2ccc(C(F)(F)F)cc2)N2CCN(CC(O)COc3c(C)cccc3C)CC2)cc1,62.0
TRAIN_0047,COc1ccc(CNC(=O)C(c2ccc(C(F)(F)F)cc2)N2CCN(CC(O)COc3ccc(OC)cc3)CC2)cc1,88.0
TRAIN_0048,COc1ccc(CNC(=O)C(c2ccc(F)cc2)N2CCN(CC(O)COc3ccc(OC)cc3)CC2)cc1,81.0
TRAIN_0049,CCNS(=O)(=O)Oc1cc(C(C)(C)C)c(SC2=C(O)OC(C)(CCc3ccc(O)cc3)CC2=O)cc1C,1.0
TRAIN_0050,Cc1cc(SC2=C(O)OC(CCc3ccc(O)cc3)(C(C)C)CC2=O)c(C(C)(C)C)cc1OS(=O)(=O)N1CCN(C)CC1,0.0
TRAIN_0051,Cc1cc(SC2=C(O)O[C@](CCc3ccc(N)cc3)(C(C)C)CC2=O)c(C(C)(C)C)cc1CO,4.0
TRAIN_0052,CC(C)(C)NC(=O)[C@@H]1CN(Cc2cccnc2)CCN1C[C@@H](O)C[C@@H](Cc1ccccc1)C(=O)N[C@H]1c2ccccc2C[C@H]1O.O,27.0
TRAIN_0053,Cc1cc(SC2=C(O)OC(CCc3ccc(O)cc3)(C(C)C)CC2=O)c(C(C)(C)C)cc1OS(=O)(=O)c1ccc(C#N)cc1,79.0
TRAIN_0054,CSc1nc(-c2ccc(F)cc2)c(-c2ccnc(Cl)c2)[nH]1,48.8
TRAIN_0055,C[S+]([O-])c1ccc(-c2nc(-c3ccc(F)cc3)c(-c3ccncc3)[nH]2)cc1,61.0
TRAIN_0056,CSc1nc(-c2ccc(F)cc2)c(-c2ccncc2)[nH]1,81.4
TRAIN_0057,CSc1nc(-c2ccc(F)cc2)c(-c2ccnc(NC(C)=O)c2)n1C1CC(C)(C)NC(C)(C)C1,79.0
TRAIN_0058,C[S+]([O-])c1ccc(CSc2nc(-c3ccc(F)cc3)c(-c3ccncc3)[nH]2)cc1,87.1
TRAIN_0059,CSc1nc(-c2ccc(F)cc2)c(-c2ccncc2)n1C1CC(C)(C)NC(C)(C)C1,49.6
TRAIN_0060,CSc1nc(-c2ccc(F)cc2)c(-c2ccnc(NC(C)c3ccccc3)c2)[nH]1,79.2
TRAIN_0061,CSc1nc(-c2ccc(F)cc2)c(-c2ccnc(OC(C)C)c2)[nH]1,49.6
TRAIN_0062,CSc1nc(-c2ccc(F)cc2)c(-c2ccnc(NC(C)=O)c2)n1C,16.5
TRAIN_0063,CSc1nc(-c2ccc(F)cc2)c(-c2ccnc(NC(C)c3ccccc3)c2)n1C,85.8
TRAIN_0064,C[C@@H]1CCCN1CCc1cc2cc(-c3ccc(C#N)cc3)ccc2o1,0.0
